Lat,Lng,Type,Value,Time
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
-45.839,170.508,1,18,33
-45.839,170.508,1,18,33
-45.839,170.508,1,68,46
0,0,11,1,16
0,0,11,1,16
0,0,11,1,16
0,0,11,1,1468362967
0,0,11,1,16
0,0,11,1,16
0,0,11,1,1468363491
0,0,11,1,1468363648
0,0,11,0,1468363794
0,0,11,0,1468363799
0,0,11,1,1468363888
0,0,11,1,1468363979
0,0,11,1,1468364045
0,0,11,1,1468364071
0,0,11,0,1468364101
0,0,11,0,1468364105
0,0,11,1,1468364107
0,0,11,0,1468364120
0,0,11,1,1468364141
0,0,11,0,1468364146
0,0,11,1,1468364147
0,0,11,0,1468364150
0,0,11,1,1468364172
0,0,11,1,1468364176
0,0,11,1,1468364184
0,0,11,0,1468364199
0,0,11,0,1468364225
0,0,11,1,1468364227
0,0,11,0,1468364263
0,0,11,0,1468364288
0,0,11,0,1468364303
0,0,11,1,1468364305
0,0,11,1,1468364313
0,0,11,0,1468364334
0,0,11,0,1468364346
0,0,11,1,1468364349
0,0,11,0,1468364355
0,0,11,1,1468364361
0,0,11,0,1468364365
0,0,11,0,1468364380
0,0,11,1,1468364382
0,0,11,0,1468364385
0,0,11,0,1468364403
0,0,11,0,1468364442
0,0,11,0,1468364457
0,0,11,1,1468364480
0,0,11,1,1468364487
0,0,11,0,1468364502
0,0,11,1,1468364509
0,0,11,1,1468364545
0,0,11,1,1468364560
0,0,11,0,1468364592
0,0,11,0,1468364604
0,0,11,0,1468364639
0,0,11,1,1468364661
0,0,11,0,1468364684
0,0,11,0,1468364694
0,0,11,1,1468364695
0,0,11,0,1468364699
0,0,11,1,1468364706
0,0,11,0,1468364708
0,0,11,1,1468364714
0,0,11,0,1468364736
0,0,11,0,1468364754
0,0,11,0,1468364774
0,0,11,1,1468364783
0,0,11,0,1468364794
0,0,11,1,1468364803
0,0,11,0,1468364806
0,0,11,0,1468364825
0,0,11,0,1468364834
0,0,11,0,1468364859
0,0,11,1,1468364865
0,0,11,0,1468364872
0,0,11,0,1468364876
0,0,11,1,1468364893
0,0,11,1,1468364901
0,0,11,0,1468364903
0,0,11,1,1468364917
0,0,11,1,1468364934
0,0,11,1,1468364942
0,0,11,1,1468364968
0,0,11,1,1468365006
0,0,11,1,1468365040
0,0,11,0,1468365042
0,0,11,1,1468365048
0,0,11,0,1468365050
0,0,11,0,1468365055
0,0,11,0,1468365059
0,0,11,0,1468365065
0,0,11,1,1468365071
0,0,11,0,1468365088
0,0,11,1,1468365102
0,0,11,0,1468365105
0,0,11,1,1468365111
0,0,11,1,1468365115
0,0,11,1,1468365119
0,0,11,0,1468365139
0,0,11,0,1468365143
0,0,11,1,1468365144
0,0,11,1,1468365158
0,0,11,1,1468365176
0,0,11,0,1468365186
0,0,11,1,1468365192
0,0,11,1,1468365204
0,0,11,0,1468365207
0,0,11,0,1468365211
0,0,11,0,1468365224
0,0,11,1,1468365225
0,0,11,0,1468365241
0,0,11,1,1468365272
0,0,11,7,1468365281
0,0,11,19,1468365298
0,0,11,21,1468365301
0,0,11,27,1468365310
0,0,11,29,1468365313
0,0,11,37,1468365325
0,0,2,114,1468365340
0,0,11,16,1468395561
0,0,11,36,1468395598
0,0,11,41,1468395599
0,0,11,45,1468395604
0,0,11,53,1468395616
0,0,11,56,1468395620
0,0,11,59,1468395625
0,0,11,60,1468395626
0,0,11,61,1468395628
0,0,11,68,1468395638
0,0,11,28,1468395907
0,0,11,4,1468396721
0,0,11,17,1468396740
0,0,11,20,1468396749
0,0,11,21,1468396749
0,0,11,34,1468396765
0,0,11,35,1468396767
0,0,11,39,1468396773
0,0,2,114,1468402013
0,0,11,152,1468402016
0,0,11,174,1468402049
0,0,11,179,1468402056
0,0,11,185,1468402065
0,0,11,193,1468402077
0,0,11,214,1468402109
0,0,11,230,1468402132
0,0,11,236,1468402141
0,0,11,240,1468402147
0,0,11,246,1468402156
0,0,11,251,1468402164
0,0,11,3,1468402175
0,0,11,254,1468402186
0,0,11,29,1468402214
0,0,11,32,1468402218
0,0,11,35,1468402223
0,0,11,36,1468402224
0,0,11,41,1468402232
0,0,11,42,1468402233
0,0,11,50,1468402245
0,0,11,59,1468402258
0,0,11,61,1468402261
0,0,11,64,1468402266
0,0,11,70,1468402275
0,0,11,72,1468402278
0,0,11,73,1468402279
0,0,11,79,1468402288
0,0,11,82,1468402293
0,0,11,87,1468402300
0,0,11,97,1468402315
0,0,11,101,1468402321
0,0,11,105,1468402327
0,0,11,111,1468402336
0,0,11,112,1468402337
0,0,11,125,1468402356
0,0,11,127,1468402359
0,0,11,136,1468402373
0,0,11,137,1468402374
0,0,11,143,1468402383
0,0,11,151,1468402395
0,0,11,156,1468402403
0,0,11,157,1468402404
0,0,11,172,1468402426
0,0,11,188,1468402450
0,0,11,190,1468402453
0,0,11,192,1468402456
0,0,11,202,1468402471
0,0,11,203,1468402473
0,0,11,214,1468402489
0,0,11,229,1468402511
0,0,11,250,1468402542
0,0,11,252,1468402545
0,0,11,255,1468402550
0,0,11,3,1468402556
0,0,11,7,1468402563
0,0,11,19,1468402579
0,0,11,27,1468402595
0,0,11,28,1468402595
0,0,11,35,1468402603
0,0,11,37,1468402606
0,0,11,39,1468402609
0,0,11,44,1468402617
0,0,11,54,1468402631
0,0,11,56,1468402634
0,0,11,59,1468402639
0,0,11,60,1468402640
0,0,11,61,1468402642
0,0,11,63,1468402645
0,0,11,65,1468402648
0,0,11,66,1468402649
0,0,11,68,1468402652
0,0,11,70,1468402655
0,0,11,72,1468402658
0,0,11,74,1468402665
0,0,11,87,1468402680
0,0,11,89,1468402683
0,0,11,93,1468402689
0,0,11,98,1468402697
0,0,11,103,1468402704
0,0,11,106,1468402709
0,0,11,121,1468402731
0,0,11,135,1468402752
0,0,11,136,1468402753
0,0,11,62,1468438763
0,0,11,66,1468438769
0,0,11,69,1468438773
0,0,11,72,1468438778
0,0,11,79,1468438788
0,0,11,80,1468438790
0,0,11,82,1468438793
0,0,11,84,1468438796
0,0,11,87,1468438800
0,0,11,93,1468438809
0,0,11,15,1468438868
0,0,11,24,1468438881
0,0,11,25,1468438883
0,0,11,35,1468438898
0,0,11,36,1468438899
0,0,11,42,1468438908
0,0,11,44,1468438911
0,0,11,238,1468453646
0,0,11,2,1468454811
0,0,11,16,1468455609
0,0,11,23,1468456268
